DEPARTAMENTO;CIRCUITO;BARRIO;NOM_BARRIO;SERIE;TOTAL HABILITADOS;TOTAL VOTOS EMITIDOS;TOTAL VOTOS NO OBSERVADOS;TOTAL VOTOS OBSERVADOS;TOTAL VOTOS ANULADOS;TOTAL VOTOS EN BLANCO
Montevideo;93;3;Barrio Sur;AKA;413;370;366;4;1;5
Montevideo;94;3;Barrio Sur;AKA;410;366;364;2;2;4
Montevideo;95;3;Barrio Sur;AKA;413;379;377;2;3;5
Montevideo;96;3;Barrio Sur;AKA;410;353;351;2;6;2
Montevideo;97;3;Barrio Sur;AKA;411;361;359;2;4;2
Montevideo;98;3;Barrio Sur;AKA;411;348;346;2;7;2
Montevideo;99;3;Barrio Sur;AKA;409;342;340;2;4;2
Montevideo;100;3;Barrio Sur;AKA;412;350;348;2;5;5
Montevideo;101;3;Barrio Sur;AKA;412;368;367;1;6;3
Montevideo;102;3;Barrio Sur;AKA;410;339;336;3;6;3
Montevideo;103;2;Centro;AKA;412;353;351;2;9;4
Montevideo;104;2;Centro;AKA;411;353;351;2;7;4
Montevideo;105;2;Centro;AKA;411;365;364;1;6;6
Montevideo;106;2;Centro;AKA;411;361;358;3;1;4
Montevideo;107;2;Centro;AKA;413;338;337;1;6;3
Montevideo;108;3;Barrio Sur;AKA;411;329;327;2;2;0
Montevideo;109;3;Barrio Sur;AKA;409;351;350;1;3;6
Montevideo;110;3;Barrio Sur;AKA;412;363;361;2;6;7
Montevideo;111;3;Barrio Sur;AKA;411;350;349;1;13;1
Montevideo;112;3;Barrio Sur;AKA;412;368;365;3;8;7
Montevideo;113;3;Barrio Sur;AKA;412;356;354;2;7;4
Montevideo;114;3;Barrio Sur;AKA;412;363;360;3;7;7
Montevideo;115;3;Barrio Sur;AKA;411;390;387;3;7;4
Montevideo;116;3;Barrio Sur;AKA;412;396;394;2;6;4
Montevideo;117;3;Barrio Sur;AKB;354;263;261;2;3;0
Montevideo;118;3;Barrio Sur;AKB;360;313;311;2;5;5
Montevideo;119;3;Barrio Sur;AKB;362;337;334;3;0;2
Montevideo;120;3;Barrio Sur;AKB;358;314;313;1;8;3
Montevideo;121;4;Cordon;AKB;365;322;319;3;3;2
Montevideo;122;4;Cordon;ALA;376;286;283;3;5;2
Montevideo;123;4;Cordon;ALA;378;333;332;1;1;0
Montevideo;124;2;Centro;ALA;379;344;341;3;9;5
Montevideo;125;2;Centro;ALA;380;346;345;1;4;5
Montevideo;126;2;Centro;ALB;332;245;241;4;3;2
Montevideo;127;2;Centro;ALB;330;283;281;2;1;2
Montevideo;128;2;Centro;ALB;332;299;296;3;3;3
Montevideo;129;4;Cordon;ALB;333;307;305;2;2;5
Montevideo;130;4;Cordon;ALB;334;295;294;1;4;5
Montevideo;131;4;Cordon;AMA;387;299;296;3;4;3
Montevideo;132;4;Cordon;AMA;380;349;347;2;5;7
Montevideo;133;4;Cordon;AMA;380;327;325;2;10;6
Montevideo;134;4;Cordon;AMA;378;332;330;2;6;6
Montevideo;135;4;Cordon;AMA;380;340;339;1;3;6
Montevideo;136;4;Cordon;AMA;380;320;317;3;7;3
Montevideo;137;4;Cordon;AMA;378;341;339;2;5;3
Montevideo;138;4;Cordon;AMA;378;329;328;1;5;3
Montevideo;139;4;Cordon;AMA;378;333;332;1;9;3
Montevideo;140;4;Cordon;AMA;380;346;344;2;2;3
Montevideo;141;4;Cordon;AMA;379;348;347;1;4;5
Montevideo;142;4;Cordon;AMA;380;356;355;1;7;3
Montevideo;143;4;Cordon;AMB;397;304;301;3;3;4
Montevideo;144;4;Cordon;AMB;399;353;351;2;6;3
Montevideo;145;4;Cordon;AMB;391;353;350;3;6;1
Montevideo;146;4;Cordon;ANA;309;246;244;2;2;0
Montevideo;147;4;Cordon;ANA;312;269;267;2;2;2
Montevideo;148;4;Cordon;ANA;315;277;275;2;1;1
Montevideo;149;4;Cordon;ANA;317;283;281;2;6;2
Montevideo;150;4;Cordon;ANB;331;232;228;4;2;1
Montevideo;151;4;Cordon;ANB;335;288;285;3;2;2
Montevideo;152;4;Cordon;ANB;336;303;302;1;6;3
Montevideo;153;4;Cordon;ANB;337;308;306;2;3;3
Montevideo;154;4;Cordon;ANB;340;300;298;2;2;1
Montevideo;155;4;Cordon;AOA;347;263;262;1;1;3
Montevideo;156;4;Cordon;AOA;350;313;312;1;6;2
Montevideo;157;4;Cordon;AOA;346;308;304;4;5;2
Montevideo;158;4;Cordon;AOA;352;297;295;2;5;7
Montevideo;159;4;Cordon;AOB;345;267;264;3;1;0
Montevideo;160;4;Cordon;AOB;347;302;300;2;4;4
Montevideo;161;5;Palermo;AOB;345;300;298;2;4;1
Montevideo;162;5;Palermo;AOB;347;306;305;1;5;7
Montevideo;163;5;Palermo;APA;398;287;283;4;7;5
Montevideo;164;5;Palermo;APA;391;341;340;1;1;7
Montevideo;165;5;Palermo;APA;391;354;353;1;5;5
Montevideo;166;5;Palermo;APA;393;338;337;1;4;3
Montevideo;167;5;Palermo;APA;393;362;360;2;4;3
Montevideo;168;5;Palermo;APA;394;342;341;1;7;6
Montevideo;169;5;Palermo;APA;390;347;346;1;10;0
Montevideo;170;5;Palermo;APA;393;353;350;3;5;2
Montevideo;171;5;Palermo;APA;395;343;342;1;1;3
Montevideo;172;5;Palermo;APA;394;339;338;1;7;2
Montevideo;173;5;Palermo;APA;391;348;347;1;10;6
Montevideo;174;5;Palermo;APA;393;339;338;1;4;4
Montevideo;175;5;Palermo;APA;391;322;321;1;12;2
Montevideo;176;5;Palermo;APA;392;346;344;2;2;9
Montevideo;177;4;Cordon;APA;393;349;347;2;7;5
Montevideo;178;4;Cordon;APA;392;347;346;1;4;2
Montevideo;179;5;Palermo;APA;392;358;357;1;9;1
Montevideo;180;5;Palermo;APA;391;358;356;2;3;2
Montevideo;181;5;Palermo;APA;397;370;368;2;6;7
Montevideo;182;5;Palermo;APB;334;254;250;4;4;3
Montevideo;183;5;Palermo;APB;339;300;296;4;2;2
Montevideo;184;5;Palermo;APB;340;302;301;1;2;2
Montevideo;185;5;Palermo;APB;341;298;297;1;5;4
Montevideo;186;5;Palermo;APB;342;308;306;2;8;8
Montevideo;187;5;Palermo;AQA;365;248;244;4;4;0
Montevideo;188;5;Palermo;AQA;372;318;315;3;3;4
Montevideo;189;5;Palermo;AQA;374;317;316;1;0;5
Montevideo;190;5;Palermo;AQA;372;335;334;1;6;4
Montevideo;191;5;Palermo;AQA;374;346;345;1;5;4
Montevideo;192;5;Palermo;AQA;375;343;341;2;2;5
Montevideo;193;4;Cordon;AQA;373;334;330;4;3;3
Montevideo;194;4;Cordon;AQA;376;331;330;1;1;7
Montevideo;195;4;Cordon;AQB;371;292;290;2;1;2
Montevideo;196;4;Cordon;AQB;373;337;335;2;5;2
Montevideo;197;4;Cordon;AQB;373;343;341;2;3;2
Montevideo;198;4;Cordon;AQB;374;334;333;1;2;2
Montevideo;199;4;Cordon;AQB;379;345;343;2;2;3
